book,url,bibtex
Database Marketing Business and Economics ,https://doi.org/10.1007/978-0-387-72579-6," @article{Blattberg_2008, title={Database Marketing}, ISBN={9780387725796}, ISSN={2199-1057}, url={http://dx.doi.org/10.1007/978-0-387-72579-6}, DOI={10.1007/978-0-387-72579-6}, journal={International Series in Quantitative Marketing}, publisher={Springer New York}, author={Blattberg, Robert C. and Kim, Byung-Do and Neslin, Scott A.}, year={2008}}
"
Composite Materials Chemistry and Materials Science ,https://doi.org/10.1007/978-0-387-74365-3," @article{Chawla_2012, title={Composite Materials}, ISBN={9780387743653}, url={http://dx.doi.org/10.1007/978-0-387-74365-3}, DOI={10.1007/978-0-387-74365-3}, publisher={Springer New York}, author={Chawla, Krishan K.}, year={2012}}
"
Time Series Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-75959-3," @article{Cryer_2008, title={Time Series Analysis}, ISBN={9780387759593}, ISSN={1431-875X}, url={http://dx.doi.org/10.1007/978-0-387-75959-3}, DOI={10.1007/978-0-387-75959-3}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={Cryer, Jonathan D. and Chan, Kung-Sik}, year={2008}}
"
Transmission Electron Microscopy Chemistry and Materials Science ,https://doi.org/10.1007/978-0-387-76501-3," @article{Williams_2009, title={Transmission Electron Microscopy}, ISBN={9780387765013}, url={http://dx.doi.org/10.1007/978-0-387-76501-3}, DOI={10.1007/978-0-387-76501-3}, publisher={Springer US}, author={Williams, David B. and Carter, C. Barry}, year={2009}}
"
"Handbook of Quantitative Criminology Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-0-387-77650-7," @article{2010, title={Handbook of Quantitative Criminology}, ISBN={9780387776507}, url={http://dx.doi.org/10.1007/978-0-387-77650-7}, DOI={10.1007/978-0-387-77650-7}, publisher={Springer New York}, year={2010}}
"
Plant Physiological Ecology Biomedical and Life Sciences ,https://doi.org/10.1007/978-0-387-78341-3," @article{Lambers_2008, title={Plant Physiological Ecology}, ISBN={9780387783413}, url={http://dx.doi.org/10.1007/978-0-387-78341-3}, DOI={10.1007/978-0-387-78341-3}, publisher={Springer New York}, author={Lambers, Hans and Chapin, F. Stuart and Pons, Thijs L.}, year={2008}}
"
Introductory Statistics with R Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-79054-1," @article{Dalgaard_2008, title={Introductory Statistics with R}, ISBN={9780387790541}, ISSN={1431-8784}, url={http://dx.doi.org/10.1007/978-0-387-79054-1}, DOI={10.1007/978-0-387-79054-1}, journal={Statistics and Computing}, publisher={Springer New York}, author={Dalgaard, Peter}, year={2008}}
"
The Elements of Statistical Learning Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-84858-7," @article{Hastie_2009, title={The Elements of Statistical Learning}, ISBN={9780387848587}, ISSN={2197-568X}, url={http://dx.doi.org/10.1007/978-0-387-84858-7}, DOI={10.1007/978-0-387-84858-7}, journal={Springer Series in Statistics}, publisher={Springer New York}, author={Hastie, Trevor and Tibshirani, Robert and Friedman, Jerome}, year={2009}}
"
"Psychology, Religion, and Spirituality Behavioral Science ",https://doi.org/10.1007/978-0-387-87573-6," @article{2009, title={Psychology, Religion, and Spirituality}, ISBN={9780387875736}, url={http://dx.doi.org/10.1007/978-0-387-87573-6}, DOI={10.1007/978-0-387-87573-6}, publisher={Springer New York}, year={2009}}
"
Introductory Time Series with R Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-88698-5," @article{Metcalfe_2009, title={Introductory Time Series with R}, ISBN={9780387886985}, url={http://dx.doi.org/10.1007/978-0-387-88698-5}, DOI={10.1007/978-0-387-88698-5}, publisher={Springer New York}, author={Metcalfe, Andrew V. and Cowpertwait, Paul S.P.}, year={2009}}
"
Child Neuropsychology Behavioral Science ,https://doi.org/10.1007/978-0-387-88963-4," @article{Semrud_Clikeman_2009, title={Child Neuropsychology}, ISBN={9780387889634}, url={http://dx.doi.org/10.1007/978-0-387-88963-4}, DOI={10.1007/978-0-387-88963-4}, publisher={Springer US}, author={Semrud-Clikeman, Margaret and Ellison, Phyllis Anne Teeter}, year={2009}}
"
A Beginner's Guide to R Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-93837-0," @article{Zuur_2009, title={A Beginnerâs Guide to R}, ISBN={9780387938370}, url={http://dx.doi.org/10.1007/978-0-387-93837-0}, DOI={10.1007/978-0-387-93837-0}, publisher={Springer New York}, author={Zuur, Alain F. and Ieno, Elena N. and Meesters, Erik}, year={2009}}
"
Geomorphology of Desert Environments Earth and Environmental Science ,https://doi.org/10.1007/978-1-4020-5719-9," @article{2009, title={Geomorphology of Desert Environments}, ISBN={9781402057199}, url={http://dx.doi.org/10.1007/978-1-4020-5719-9}, DOI={10.1007/978-1-4020-5719-9}, publisher={Springer Netherlands}, year={2009}}
"
The Joy of Science Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4020-6099-1," @article{2007, title={The Joy of Science}, ISBN={9781402060991}, url={http://dx.doi.org/10.1007/978-1-4020-6099-1}, DOI={10.1007/978-1-4020-6099-1}, publisher={Springer Netherlands}, year={2007}}
"
Fatigue of Structures and Materials Engineering ,https://doi.org/10.1007/978-1-4020-6808-9," @article{2009, title={Fatigue of Structures and Materials}, ISBN={9781402068089}, url={http://dx.doi.org/10.1007/978-1-4020-6808-9}, DOI={10.1007/978-1-4020-6808-9}, publisher={Springer Netherlands}, year={2009}}
"
Essential Astrophysics Physics and Astronomy ,https://doi.org/10.1007/978-3-642-35963-7," @article{Lang_2013, title={Essential Astrophysics}, ISBN={9783642359637}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-3-642-35963-7}, DOI={10.1007/978-3-642-35963-7}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer Berlin Heidelberg}, author={Lang, Kenneth R.}, year={2013}}
"
Introduction to Evolutionary Computing Computer Science ,https://doi.org/10.1007/978-3-662-44874-8," @article{Eiben_2015, title={Introduction to Evolutionary Computing}, ISBN={9783662448748}, ISSN={1619-7127}, url={http://dx.doi.org/10.1007/978-3-662-44874-8}, DOI={10.1007/978-3-662-44874-8}, journal={Natural Computing Series}, publisher={Springer Berlin Heidelberg}, author={Eiben, A.E. and Smith, J.E.}, year={2015}}
"
Data Analysis Physics and Astronomy ,https://doi.org/10.1007/978-3-319-03762-2," @article{Brandt_2014, title={Data Analysis}, ISBN={9783319037622}, url={http://dx.doi.org/10.1007/978-3-319-03762-2}, DOI={10.1007/978-3-319-03762-2}, publisher={Springer International Publishing}, author={Brandt, Siegmund}, year={2014}}
"
International Perspectives on Psychotherapy Behavioral Science and Psychology ,https://doi.org/10.1007/978-3-319-56194-3," @article{2017, title={International Perspectives on Psychotherapy}, ISBN={9783319561943}, url={http://dx.doi.org/10.1007/978-3-319-56194-3}, DOI={10.1007/978-3-319-56194-3}, publisher={Springer International Publishing}, year={2017}}
"
Electrical Machines Energy ,https://doi.org/10.1007/978-1-4614-0400-2," @article{Vukosavic_2013, title={Electrical Machines}, ISBN={9781461404002}, url={http://dx.doi.org/10.1007/978-1-4614-0400-2}, DOI={10.1007/978-1-4614-0400-2}, publisher={Springer New York}, author={Vukosavic, Slobodan N.}, year={2013}}
"
Mechanics and Thermodynamics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-27877-3," @article{Demtr_der_2017, title={Mechanics and Thermodynamics}, ISBN={9783319278773}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-3-319-27877-3}, DOI={10.1007/978-3-319-27877-3}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer International Publishing}, author={DemtrÃ¶der, Wolfgang}, year={2017}}
"
Applied Behavior Analysis Behavioral Science and Psychology ,https://doi.org/10.1007/978-3-319-44794-0," @article{Maich_2016, title={Applied Behavior Analysis}, ISBN={9783319447940}, url={http://dx.doi.org/10.1007/978-3-319-44794-0}, DOI={10.1007/978-3-319-44794-0}, publisher={Springer International Publishing}, author={Maich, Kimberly and Levine, Darren and Hall, Carmen}, year={2016}}
"
"Reading, Writing, and Proving Mathematics and Statistics ",https://doi.org/10.1007/978-1-4419-9479-0," @article{Daepp_2011, title={Reading, Writing, and Proving}, ISBN={9781441994790}, ISSN={0172-6056}, url={http://dx.doi.org/10.1007/978-1-4419-9479-0}, DOI={10.1007/978-1-4419-9479-0}, journal={Undergraduate Texts in Mathematics}, publisher={Springer New York}, author={Daepp, Ulrich and Gorkin, Pamela}, year={2011}}
"
Linear and Nonlinear Programming Business and Management ,https://doi.org/10.1007/978-3-319-18842-3," @article{Luenberger_2016, title={Linear and Nonlinear Programming}, ISBN={9783319188423}, ISSN={2214-7934}, url={http://dx.doi.org/10.1007/978-3-319-18842-3}, DOI={10.1007/978-3-319-18842-3}, journal={International Series in Operations Research & Management Science}, publisher={Springer International Publishing}, author={Luenberger, David G. and Ye, Yinyu}, year={2016}}
"
Introduction to Partial Differential Equations Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-02099-0," @article{Olver_2014, title={Introduction to Partial Differential Equations}, ISBN={9783319020990}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/978-3-319-02099-0}, DOI={10.1007/978-3-319-02099-0}, journal={Undergraduate Texts in Mathematics}, publisher={Springer International Publishing}, author={Olver, Peter J.}, year={2014}}
"
Energy Storage Energy ,https://doi.org/10.1007/978-3-319-21239-5," @article{Huggins_2016, title={Energy Storage}, ISBN={9783319212395}, url={http://dx.doi.org/10.1007/978-3-319-21239-5}, DOI={10.1007/978-3-319-21239-5}, publisher={Springer International Publishing}, author={Huggins, Robert}, year={2016}}
"
Metabolism of Human Diseases Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-7091-0715-7," @article{2014, title={Metabolism of Human Diseases}, ISBN={9783709107157}, url={http://dx.doi.org/10.1007/978-3-7091-0715-7}, DOI={10.1007/978-3-7091-0715-7}, publisher={Springer Vienna}, year={2014}}
"
Sensory Evaluation of Food Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4419-6488-5," @article{Lawless_2010, title={Sensory Evaluation of Food}, ISBN={9781441964885}, ISSN={2214-7799}, url={http://dx.doi.org/10.1007/978-1-4419-6488-5}, DOI={10.1007/978-1-4419-6488-5}, journal={Food Science Text Series}, publisher={Springer New York}, author={Lawless, Harry T. and Heymann, Hildegarde}, year={2010}}
"
Fundamentals of Robotic Mechanical Systems Engineering ,https://doi.org/10.1007/978-3-319-01851-5," @article{Angeles_2014, title={Fundamentals of Robotic Mechanical Systems}, ISBN={9783319018515}, ISSN={2192-063X}, url={http://dx.doi.org/10.1007/978-3-319-01851-5}, DOI={10.1007/978-3-319-01851-5}, journal={Mechanical Engineering Series}, publisher={Springer International Publishing}, author={Angeles, Jorge}, year={2014}}
"
Integrative Human Biochemistry Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4939-3058-6," @article{da_Poian_2015, title={Integrative Human Biochemistry}, ISBN={9781493930586}, url={http://dx.doi.org/10.1007/978-1-4939-3058-6}, DOI={10.1007/978-1-4939-3058-6}, publisher={Springer New York}, author={da Poian, Andrea T. and Castanho, Miguel A. R. B.}, year={2015}}
"
Philosophy of Science for Scientists Religion and Philosophy ,https://doi.org/10.1007/978-3-319-26551-3," @article{Johansson_2016, title={Philosophy of Science for Scientists}, ISBN={9783319265513}, url={http://dx.doi.org/10.1007/978-3-319-26551-3}, DOI={10.1007/978-3-319-26551-3}, publisher={Springer International Publishing}, author={Johansson, Lars-GÃ¶ran}, year={2016}}
"
Particles and Nuclei Physics and Astronomy ,https://doi.org/10.1007/978-3-662-46321-5," @article{Povh_2015, title={Particles and Nuclei}, ISBN={9783662463215}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-3-662-46321-5}, DOI={10.1007/978-3-662-46321-5}, journal={Graduate Texts in Physics}, publisher={Springer Berlin Heidelberg}, author={Povh, Bogdan and Rith, Klaus and Scholz, Christoph and Zetsche, Frank and Rodejohann, Werner}, year={2015}}
"
Data Structures and Algorithms with Python Computer Science ,https://doi.org/10.1007/978-3-319-13072-9," @article{Lee_2015, title={Data Structures and Algorithms with Python}, ISBN={9783319130729}, ISSN={2197-1781}, url={http://dx.doi.org/10.1007/978-3-319-13072-9}, DOI={10.1007/978-3-319-13072-9}, journal={Undergraduate Topics in Computer Science}, publisher={Springer International Publishing}, author={Lee, Kent D. and Hubbard, Steve}, year={2015}}
"
"LGBT-Parent Families Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-1-4614-4556-2," @article{2013, title={LGBT-Parent Families}, ISBN={9781461445562}, url={http://dx.doi.org/10.1007/978-1-4614-4556-2}, DOI={10.1007/978-1-4614-4556-2}, publisher={Springer New York}, year={2013}}
"
Integrated Neuroscience Biomedical and Life Sciences ,https://doi.org/10.1007/978-1-4615-1077-2," @article{Marcus_2003, title={Integrated Neuroscience}, ISBN={9781461510772}, url={http://dx.doi.org/10.1007/978-1-4615-1077-2}, DOI={10.1007/978-1-4615-1077-2}, publisher={Springer US}, author={Marcus, Elliott M. and Jacobson, Stanley}, year={2003}}
"
Microeconomics Business and Economics ,https://doi.org/10.1007/978-3-642-37434-0," @article{Dorman_2014, title={Microeconomics}, ISBN={9783642374340}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-642-37434-0}, DOI={10.1007/978-3-642-37434-0}, journal={Springer Texts in Business and Economics}, publisher={Springer Berlin Heidelberg}, author={Dorman, Peter}, year={2014}}
"
System Dynamics Economics and Finance ,https://doi.org/10.1007/978-981-10-2045-2," @article{Bala_2017, title={System Dynamics}, ISBN={9789811020452}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-981-10-2045-2}, DOI={10.1007/978-981-10-2045-2}, journal={Springer Texts in Business and Economics}, publisher={Springer Singapore}, author={Bala, Bilash Kanti and Arshad, Fatimah Mohamed and Noh, Kusairi Mohd}, year={2017}}
"
Cosmology for the Curious Physics and Astronomy ,https://doi.org/10.1007/978-3-319-57040-2," @article{Perlov_2017, title={Cosmology for the Curious}, ISBN={9783319570402}, url={http://dx.doi.org/10.1007/978-3-319-57040-2}, DOI={10.1007/978-3-319-57040-2}, publisher={Springer International Publishing}, author={Perlov, Delia and Vilenkin, Alex}, year={2017}}
"
Methods of Mathematical Modelling Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-23042-9," @article{Witelski_2015, title={Methods of Mathematical Modelling}, ISBN={9783319230429}, ISSN={2197-4144}, url={http://dx.doi.org/10.1007/978-3-319-23042-9}, DOI={10.1007/978-3-319-23042-9}, journal={Springer Undergraduate Mathematics Series}, publisher={Springer International Publishing}, author={Witelski, Thomas and Bowen, Mark}, year={2015}}
"
Introduction to Logic Circuits & Logic Design with Verilog Engineering ,https://doi.org/10.1007/978-3-030-13605-5," @article{LaMeres_2019, title={Introduction to Logic Circuits & Logic Design with Verilog}, ISBN={9783030136055}, url={http://dx.doi.org/10.1007/978-3-030-13605-5}, DOI={10.1007/978-3-030-13605-5}, publisher={Springer International Publishing}, author={LaMeres, Brock J.}, year={2019}}
"
Structural Analysis Engineering ,https://doi.org/10.1007/978-90-481-2516-6," @article{2009, title={Structural Analysis}, ISBN={9789048125166}, ISSN={0925-0042}, url={http://dx.doi.org/10.1007/978-90-481-2516-6}, DOI={10.1007/978-90-481-2516-6}, journal={Solid Mechanics and Its Applications}, publisher={Springer Netherlands}, year={2009}}
"
Engineering Flow and Heat Exchange Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4899-7454-9," @article{Levenspiel_2014, title={Engineering Flow and Heat Exchange}, ISBN={9781489974549}, url={http://dx.doi.org/10.1007/978-1-4899-7454-9}, DOI={10.1007/978-1-4899-7454-9}, publisher={Springer US}, author={Levenspiel, Octave}, year={2014}}
"
Enterprise Risk Management Models Business and Management ,https://doi.org/10.1007/978-3-662-53785-5," @article{Olson_2017, title={Enterprise Risk Management Models}, ISBN={9783662537855}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-662-53785-5}, DOI={10.1007/978-3-662-53785-5}, journal={Springer Texts in Business and Economics}, publisher={Springer Berlin Heidelberg}, author={Olson, David L. and Wu, Desheng Dash}, year={2017}}
"
Reactive Power Control in AC Power Systems Energy ,https://doi.org/10.1007/978-3-319-51118-4," @article{2017, title={Reactive Power Control in AC Power Systems}, ISBN={9783319511184}, ISSN={1860-4676}, url={http://dx.doi.org/10.1007/978-3-319-51118-4}, DOI={10.1007/978-3-319-51118-4}, journal={Power Systems}, publisher={Springer International Publishing}, year={2017}}
"
Principles of Microeconomics Economics and Finance ,https://doi.org/10.1007/978-3-319-57589-6," @article{Kolmar_2017, title={Principles of Microeconomics}, ISBN={9783319575896}, ISSN={2192-4341}, url={http://dx.doi.org/10.1007/978-3-319-57589-6}, DOI={10.1007/978-3-319-57589-6}, journal={Springer Texts in Business and Economics}, publisher={Springer International Publishing}, author={Kolmar, Martin}, year={2017}}
"
Additive Manufacturing Technologies Engineering ,https://doi.org/10.1007/978-1-4939-2113-3," @article{Gibson_2015, title={Additive Manufacturing Technologies}, ISBN={9781493921133}, url={http://dx.doi.org/10.1007/978-1-4939-2113-3}, DOI={10.1007/978-1-4939-2113-3}, publisher={Springer New York}, author={Gibson, Ian and Rosen, David and Stucker, Brent}, year={2015}}
"
Principles of Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-642-23026-4," @article{Radi_2013, title={Principles of Physics}, ISBN={9783642230264}, ISSN={2192-4805}, url={http://dx.doi.org/10.1007/978-3-642-23026-4}, DOI={10.1007/978-3-642-23026-4}, journal={Undergraduate Lecture Notes in Physics}, publisher={Springer Berlin Heidelberg}, author={Radi, Hafez  A . and Rasmussen, John O}, year={2013}}
"
Irrigation and Drainage Engineering Earth and Environmental Science ,https://doi.org/10.1007/978-3-319-05699-9," @article{Waller_2016, title={Irrigation and Drainage Engineering}, ISBN={9783319056999}, url={http://dx.doi.org/10.1007/978-3-319-05699-9}, DOI={10.1007/978-3-319-05699-9}, publisher={Springer International Publishing}, author={Waller, Peter and Yitayew, Muluneh}, year={2016}}
"
LaTeX in 24 Hours Computer Science ,https://doi.org/10.1007/978-3-319-47831-9," @article{Datta_2017, title={LaTeX in 24 Hours}, ISBN={9783319478319}, url={http://dx.doi.org/10.1007/978-3-319-47831-9}, DOI={10.1007/978-3-319-47831-9}, publisher={Springer International Publishing}, author={Datta, Dilip}, year={2017}}
"
Psychology of Perception Behavioral Science and Psychology ,https://doi.org/10.1007/978-3-319-31791-5," @article{Grondin_2016, title={Psychology of Perception}, ISBN={9783319317915}, url={http://dx.doi.org/10.1007/978-3-319-31791-5}, DOI={10.1007/978-3-319-31791-5}, publisher={Springer International Publishing}, author={Grondin, Simon}, year={2016}}
"
Extragalactic Astronomy and Cosmology Physics and Astronomy ,https://doi.org/10.1007/978-3-642-54083-7," @article{Schneider_2015, title={Extragalactic Astronomy and Cosmology}, ISBN={9783642540837}, url={http://dx.doi.org/10.1007/978-3-642-54083-7}, DOI={10.1007/978-3-642-54083-7}, publisher={Springer Berlin Heidelberg}, author={Schneider, Peter}, year={2015}}
"
Automata and Computability Computer Science ,https://doi.org/10.1007/978-1-4612-1844-9," @article{Kozen_1997, title={Automata and Computability}, ISBN={9781461218449}, url={http://dx.doi.org/10.1007/978-1-4612-1844-9}, DOI={10.1007/978-1-4612-1844-9}, publisher={Springer New York}, author={Kozen, Dexter C.}, year={1997}}
"
The Algorithm Design Manual Computer Science ,https://doi.org/10.1007/978-1-84800-070-4," @article{Skiena_2008, title={The Algorithm Design Manual}, ISBN={9781848000704}, url={http://dx.doi.org/10.1007/978-1-84800-070-4}, DOI={10.1007/978-1-84800-070-4}, publisher={Springer London}, author={Skiena, Steven S.}, year={2008}}
"
Chemical Thermodynamics Chemistry and Materials Science ,https://doi.org/10.1007/978-3-642-19864-9," @article{Keszei_2012, title={Chemical Thermodynamics}, ISBN={9783642198649}, url={http://dx.doi.org/10.1007/978-3-642-19864-9}, DOI={10.1007/978-3-642-19864-9}, publisher={Springer Berlin Heidelberg}, author={Keszei, ErnÃ¶}, year={2012}}
"
Computational Physics Physics and Astronomy ,https://doi.org/10.1007/978-3-319-00401-3," @article{Scherer_2013, title={Computational Physics}, ISBN={9783319004013}, ISSN={1868-4521}, url={http://dx.doi.org/10.1007/978-3-319-00401-3}, DOI={10.1007/978-3-319-00401-3}, journal={Graduate Texts in Physics}, publisher={Springer International Publishing}, author={Scherer, Philipp O.J.}, year={2013}}
"
Introduction to Statistics and Data Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-3-319-46162-5," @article{Heumann_2016, title={Introduction to Statistics and Data Analysis}, ISBN={9783319461625}, url={http://dx.doi.org/10.1007/978-3-319-46162-5}, DOI={10.1007/978-3-319-46162-5}, publisher={Springer International Publishing}, author={Heumann, Christian and Schomaker, Michael and Shalabh}, year={2016}}
"
Grammar for Teachers Education ,https://doi.org/10.1007/978-3-319-33916-0," @article{DeCapua_2017, title={Grammar for Teachers}, ISBN={9783319339160}, ISSN={2366-7672}, url={http://dx.doi.org/10.1007/978-3-319-33916-0}, DOI={10.1007/978-3-319-33916-0}, journal={Springer Texts in Education}, publisher={Springer International Publishing}, author={DeCapua, Andrea}, year={2017}}
"
